docId,filename,top topics, and contribution to doc ...
95,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000092.txt,9,0.278,3,0.278,1,0.100,6,0.083,7,0.078,2,0.067,5,0.061
96,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000093.txt,6,0.361,9,0.169,7,0.148,3,0.115
97,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000094.txt,2,0.300,1,0.177,6,0.133,3,0.118,10,0.079
98,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000095.txt,3,0.270,9,0.174,8,0.152,4,0.118,6,0.062,10,0.056,7,0.056
99,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000096.txt,3,0.319,6,0.216,9,0.211,2,0.085,4,0.080
100,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000097.txt,3,0.313,6,0.279,9,0.151,10,0.101,4,0.050
101,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000098.txt,4,0.560,3,0.085,9,0.070,2,0.065,8,0.060,6,0.055
102,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000099.txt,6,0.456,3,0.178,9,0.111,1,0.050
103,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000100.txt,3,0.440,9,0.230,1,0.089
104,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000101.txt,3,0.372,4,0.286,9,0.204
105,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000102.txt,1,0.271,7,0.243,5,0.164,10,0.079,4,0.071,6,0.057,2,0.057
106,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000103.txt,6,0.390,3,0.303,10,0.072,9,0.067
107,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000104.txt,10,0.289,3,0.191,9,0.139,6,0.103,1,0.088,2,0.067,4,0.052
108,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000105.txt,3,0.380,10,0.240,9,0.105,4,0.070,1,0.064
109,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000106.txt,6,0.276,7,0.156,1,0.120,9,0.115,5,0.094,3,0.083,2,0.078
110,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000107.txt,3,0.261,9,0.232,6,0.137,4,0.104,7,0.062,1,0.062,8,0.052
111,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000108.txt,10,0.263,3,0.234,6,0.152,9,0.099,1,0.064,7,0.058
112,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000110.txt,1,0.220,3,0.183,10,0.113,2,0.113,6,0.102,7,0.091,8,0.070,9,0.054
113,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000111.txt,6,0.448,9,0.134,7,0.077,5,0.077,3,0.067,1,0.062,2,0.057
114,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000112.txt,9,0.270,7,0.130,1,0.124,2,0.092,6,0.086,8,0.076,4,0.070,3,0.070,10,0.065
115,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000113.txt,4,0.219,2,0.202,6,0.152,8,0.096,9,0.079,1,0.079,5,0.062,3,0.056
116,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000114.txt,6,0.264,3,0.215,9,0.141,10,0.110,8,0.110,4,0.067
117,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000115.txt,10,0.298,8,0.159,4,0.139,6,0.132,9,0.113
118,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000116.txt,10,0.378,4,0.203,9,0.093,2,0.087,6,0.081,3,0.058
119,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000117.txt,10,0.368,3,0.195,6,0.172,9,0.063
120,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000118.txt,3,0.420,9,0.218,6,0.075,10,0.069,8,0.069
121,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000119.txt,9,0.212,6,0.177,3,0.116,4,0.111,8,0.096,7,0.096,1,0.071,2,0.051
122,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000120.txt,3,0.266,10,0.202,4,0.173,6,0.104,7,0.075,1,0.075
123,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000121.txt,6,0.247,10,0.153,7,0.140,2,0.140,3,0.113,9,0.080,8,0.067
124,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000122.txt,6,0.298,10,0.261,9,0.133,4,0.074,2,0.069
125,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000123.txt,10,0.240,8,0.217,6,0.143,3,0.137,4,0.086,9,0.063,2,0.057
126,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000124.txt,10,0.483,9,0.097,8,0.085,4,0.085,7,0.074,2,0.057,6,0.051
127,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000125.txt,10,0.371,2,0.144,9,0.129,4,0.114,6,0.076
128,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000126.txt,7,0.229,5,0.173,1,0.145,6,0.140,9,0.095,4,0.089,8,0.067
129,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000127.txt,1,0.165,9,0.144,3,0.144,6,0.122,4,0.106,2,0.106,7,0.080,10,0.074,8,0.053
130,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000128.txt,1,0.255,7,0.176,6,0.154,8,0.112,5,0.064,4,0.064,3,0.064
